item_key,item_id,item_name,icon_url
3031,3031,Item_3031,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3031.png
3033,3033,Item_3033,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3033.png
1036,1036,Item_1036,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/1036.png
3157,3157,Item_3157,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3157.png
4645,4645,Item_4645,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/4645.png
2503,2503,Item_2503,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/2503.png
3111,3111,Item_3111,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3111.png
2422,2422,Item_2422,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/2422.png
1042,1042,Item_1042,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/1042.png
1082,1082,Item_1082,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/1082.png
2420,2420,Item_2420,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/2420.png
3108,3108,Item_3108,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3108.png
4628,4628,Item_4628,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/4628.png
1052,1052,Item_1052,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/1052.png
8020,8020,Item_8020,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/8020.png
6662,6662,Item_6662,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/6662.png
6664,6664,Item_6664,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/6664.png
3082,3082,Item_3082,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3082.png
3024,3024,Item_3024,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3024.png
3172,3172,Item_3172,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3172.png
3085,3085,Item_3085,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3085.png
3078,3078,Item_3078,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3078.png
2021,2021,Item_2021,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/2021.png
3181,3181,Item_3181,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3181.png
6610,6610,Item_6610,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/6610.png
3044,3044,Item_3044,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3044.png
3158,3158,Item_3158,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3158.png
3161,3161,Item_3161,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3161.png
1037,1037,Item_1037,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/1037.png
6694,6694,Item_6694,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/6694.png
3077,3077,Item_3077,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3077.png
3133,3133,Item_3133,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3133.png
3155,3155,Item_3155,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3155.png
2022,2022,Item_2022,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/2022.png
6676,6676,Item_6676,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/6676.png
6672,6672,Item_6672,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/6672.png
3748,3748,Item_3748,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/3748.png
6692,6692,Item_6692,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/item/6692.png
