match_key,puuid,summoner_name,riot_id_game_name,riot_id_tag_line,champion_id,champion_name,team_id,team_position,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,vision_score,control_wards_purchased,kill_participation,champion_level,items
97,X7tM9dSMf0eSTh02_mLfligOsDxw68pFfXmyQdmVlHUpZi_I687ExxLteWcaMdXkpWAi1mLm21LwPQ,,NinjaSkillz424,,517,Sylas,100,TOP,1,10,2,1,5.5,103,5.38,8864,463.28,18815,983.36,9,0,0.5,13,"[1055, 2031, 6610, 3042, 3158, 1052, 3340]"
97,7UvEQ95ZJKlNONZAB8gjKKpi8BdpD6x7_mo0389osPE4hwd_ltFPYK4NlqW-chAlRZJFiud7G1KbZw,,gremlin613,,32,Amumu,100,JUNGLE,1,6,1,5,11.0,137,7.16,8970,468.82,7375,385.45,11,0,0.5,12,"[0, 3111, 3068, 1052, 0, 0, 3364]"
97,ihmyWUBOo4pt7rzpE7BNmbehM2CGpgcoD0cu6dl0I2tiWJ3iHX3NyAC65kq8Cpq9wYOQQbe_sCeftw,,Malzahar,,90,Malzahar,100,MIDDLE,1,1,0,3,4.0,166,8.68,7339,383.57,8103,423.5,11,2,0.182,13,"[1056, 3070, 6653, 3020, 0, 1026, 3340]"
97,bDAg3TBTewYMhIvkYcRDevyP2MyAS1Z1Sqs4BYm1gmgv5KrhR_P-2b6H67kzxWDJTdw77wYxKJSFeQ,,AndresUruguay,,222,Jinx,100,BOTTOM,1,4,4,2,1.5,91,4.76,6438,336.48,6100,318.82,7,0,0.273,10,"[1042, 1038, 0, 1055, 6676, 3006, 3340]"
97,9Uku5X7L-36ufzLPex_56lkSqzqXqv3m2IzlN9ESNmnstlD4MqyIGHA-DCCF53YdIJuhsLXw274IoA,,impishjellybird,,432,Bard,100,UTILITY,1,1,4,6,1.75,30,1.57,5571,291.17,6130,320.38,18,1,0.318,11,"[3877, 1001, 3742, 3145, 0, 0, 3364]"
97,1cS2n9J6kOPuAjoAVnqKya-N-Hy5AqGbdggP9AaRgJRyCpY0ayG1fiHCaNJbZLGA68LVDesfYdeGwg,,Lovers Rock,,145,Kaisa,200,TOP,0,2,6,0,0.33,128,6.69,5822,304.29,11111,580.71,6,0,0.182,12,"[1055, 3108, 3004, 1001, 1043, 1082, 3340]"
97,HWcx5RVzFt7fCJKGbf6bIAIPLnOVm90taquO7-ymjiucK0pnv_sq9xixoc_8SzwUcZvwbmxmAlwupw,,Cømatose,,77,Udyr,200,JUNGLE,0,1,2,0,0.5,72,3.76,4876,254.84,2956,154.49,1,0,0.091,9,"[1001, 3078, 1101, 1033, 0, 0, 3340]"
97,yJ6U-pxwYFJuocH6AmegjeAPNSd_phIsGwR-f-ebkcqN2FCjxFK9yJIn10OHfVv_XaHy7mrXlyb_kg,,Ruberband,,131,Diana,200,MIDDLE,0,0,3,1,0.33,154,8.05,6112,319.44,5171,270.26,9,1,0.091,12,"[3152, 1056, 3020, 3145, 0, 0, 3340]"
97,1zaX4y8BO2OxNZY6g5TK_WOET8IumVAYEPYxGgMOaRS5SkIqG8oAQEoMJZOJ6fVKbWLeBFtkHCI8NA,,looking4buzz,,360,Samira,200,BOTTOM,0,5,6,0,0.83,122,6.38,6768,353.73,8840,462.02,3,0,0.455,10,"[1055, 6676, 1038, 1018, 1037, 0, 3340]"
97,GvuXrtY99tn5q3betg5BqoNWj5DvH_vZ5swwB9JcDl3eryErvi3uwAhVcThaObHZ3pEqDnrzA5hHnw,,ThinkTDP,,111,Nautilus,200,UTILITY,0,3,5,6,1.8,34,1.78,5702,298.01,9606,502.06,21,0,0.818,9,"[3877, 3115, 1052, 3158, 0, 1052, 3364]"
98,YfRjns5V8SQ6Hf_702hNZ0dgwdWujm6fCAnT28g8KudExtcLI80-VaY3D_KMMQymDVommsfST0cogA,,swagapinoy,,10,Kayle,100,TOP,0,5,6,2,1.17,258,7.67,14045,417.38,23101,686.51,14,0,0.389,18,"[1056, 3009, 3115, 3100, 3089, 3145, 3340]"
98,JRC2f-fanrAzTktIhLT3BrVlnwO5QKOELYpSovgYxCUnyNo8GcqaL8IELnTfK0hyaNzZJQwOzVJYdg,,Mintyninja3545,,120,Hecarim,100,JUNGLE,0,9,13,2,0.85,255,7.58,15062,447.61,28506,847.13,11,0,0.611,17,"[2501, 3161, 3158, 6694, 6695, 2021, 3364]"
98,_s37datWM0qpPQkyczyxJwExNHq7IzMquv_DlHQNf7wByasrC2YBfMV462Y1-leyv4EDyveQBNXSgw,,cammy,,74,Heimerdinger,100,MIDDLE,0,0,7,4,0.57,178,5.29,9473,281.52,15157,450.43,28,1,0.222,14,"[1056, 2503, 6655, 3020, 3916, 3067, 3340]"
98,z3ZmmSYejvrXFidwuw4ub5IFOR1FYr3ZPAQu8wEJ45eliQtqCor1Z3i4MSdFYLTW3jqcCJivvhLn1Q,,Kony2012NF,,81,Ezreal,100,BOTTOM,0,3,6,4,1.17,183,5.44,11615,345.17,12892,383.12,12,0,0.389,16,"[1055, 3042, 3078, 3158, 2021, 1028, 3340]"
98,KHc5tHhJwKIzA1XC2AhqSnzrGRfUoVcUqoBwHuJ-7A5dlpq5nY8fIuRxN-0sg3QWEBx49UdU2LvlcA,,DraymondGreen,,82,Mordekaiser,100,UTILITY,0,1,8,1,0.25,60,1.78,7633,226.84,7540,224.07,42,0,0.111,14,"[3871, 3116, 3047, 4633, 0, 0, 3364]"
98,f-CCYbAURLMQD_ULts4D4GtIZwq_PRDOVCoPq3BS45B8FmfXzdoR1ysod3txOTX3KVJY9n7rxjgLNQ,,CezarSaladKim,,67,Vayne,200,TOP,1,5,4,2,1.75,195,5.79,13182,391.74,22775,676.82,14,1,0.175,18,"[1055, 3124, 3172, 3091, 3153, 3051, 3340]"
98,SxinrMd26rlyqQ7twp0p4v1zngjBGug4XIQoTVYvNqw5AD58NQOTYlML6UTXA-Rhr82QefXLAv0cPQ,,SilverStar01,,19,Warwick,200,JUNGLE,1,13,1,7,20.0,203,6.03,16401,487.4,27429,815.13,20,2,0.5,18,"[3153, 3077, 3174, 3075, 3065, 3044, 3364]"
98,ihmyWUBOo4pt7rzpE7BNmbehM2CGpgcoD0cu6dl0I2tiWJ3iHX3NyAC65kq8Cpq9wYOQQbe_sCeftw,,Malzahar,,90,Malzahar,200,MIDDLE,1,7,4,9,4.0,275,8.17,16880,501.63,29902,888.62,23,2,0.4,18,"[3135, 2503, 3116, 3916, 3020, 6653, 3340]"
98,U3XOO6twimFClfEeo9N42ZvM4PIA6Isj9Z7X7uDg1x7lWfzmgHVMIBDaEcHZ-LEQZJUtSEuyetRtSw,,ShamanBaba,,236,Lucian,200,BOTTOM,1,14,3,6,6.67,292,8.68,16692,496.05,42678,1268.29,20,0,0.5,18,"[1055, 3508, 3072, 3009, 3036, 3031, 3340]"
98,FVJsN61EnUe_brPVGe0BRfITRp_2vx-yyp6crVmelKBLGXKsvcnH-v6DpDMlWle6mNCbyip3h_Xvfg,,Salmon,,902,Milio,200,UTILITY,1,1,6,20,3.5,21,0.62,9842,292.48,8558,254.32,40,0,0.525,15,"[3158, 3870, 6617, 4005, 6616, 3114, 3340]"
99,3lCG0eZV2D_8u82tPpn-lBM05VotJnTMPOuymHIkEaIM90x1kNCCaT-LppSI_L9Budc7b9KnV5uTlA,,ChronicDark,,31,Chogath,100,TOP,0,2,8,2,0.5,202,6.72,9771,324.98,13161,437.73,9,1,0.182,15,"[3075, 3068, 3047, 1011, 1011, 3801, 3340]"
99,BJRUFZKi4kqwVHlR3SUVRBgUjelxqT6k2WYcy3xEbLxdhV5w-GKQvUtKQ2Dae3kYzLrfuDeilpEnlg,,XxWhoMexX,,56,Nocturne,100,JUNGLE,0,5,10,5,1.0,183,6.09,11960,397.78,22282,741.09,15,1,0.455,15,"[3153, 3073, 6631, 3174, 2055, 0, 3364]"
99,ihmyWUBOo4pt7rzpE7BNmbehM2CGpgcoD0cu6dl0I2tiWJ3iHX3NyAC65kq8Cpq9wYOQQbe_sCeftw,,Malzahar,,90,Malzahar,100,MIDDLE,0,7,3,5,4.0,209,6.95,12235,406.93,23590,784.59,21,2,0.545,17,"[3089, 3070, 6653, 3116, 3020, 3916, 3340]"
99,w-dGZLRCix217CQmBvtGjcz3BIPBaz3hiyxA1I3XD0xmboMQlI7aYIyethyYV7gKwqdXkxgogR7awg,,Anon,,222,Jinx,100,BOTTOM,0,4,6,7,1.83,202,6.72,11281,375.2,18802,625.34,15,0,0.5,14,"[3031, 3172, 3032, 3086, 3144, 0, 3340]"
99,uVNmRj7EqCstD__PsgAPWi3HuBqNjeSQ8hYtDS3Z-oWOYL1yV35fnKSoxlge3lk0Rg2ioGYQGwMHEg,,Ravenous,,412,Thresh,100,UTILITY,0,4,10,6,1.0,29,0.96,7475,248.61,10806,359.4,55,0,0.455,12,"[3190, 3170, 3869, 3075, 0, 0, 3364]"
99,mnQz3eb7k7pEOYmwiq-HwJ6oKO6dZ-gLRKjitbAcIzmfKBkhAN5tWnWu_A6wl4uOfbzqZ4y7a8J1tQ,,Caraxes,,67,Vayne,200,TOP,1,7,5,3,2.0,230,7.65,15145,503.71,37222,1237.98,4,3,0.27,17,"[3051, 3006, 3302, 3124, 6690, 3153, 3363]"
99,GjwVntp_V71mlZUiAwmS3dwKe2N9HHJMW7Pou69vPp6tGD65rxvwcHORoYKawNbf_yAymnh_c2S20Q,,TyrGrim,,106,Volibear,200,JUNGLE,1,9,6,16,4.17,145,4.82,12432,413.48,30338,1009.02,22,0,0.676,15,"[3065, 4629, 3009, 6675, 1031, 1057, 3364]"
99,iwY6Q59dL1qHVDPMuMRvY5mIDezq3X5Hi1fD8I_FnGfkjVOWySP72_Jv5595f7l6MN8VbpkIym6Cew,,Odd Shivers,,910,Hwei,200,MIDDLE,1,3,4,12,3.75,190,6.32,10575,351.72,15389,511.83,14,0,0.405,16,"[3040, 2503, 3020, 3147, 2508, 0, 3340]"
99,fpOA76kRa6h038D0MCcrLjipGX_bvtclSixxMBdlg9lBcttk2iTL3xOxhAl5gBTOpWt_JYPYqZFVyw,,kbees,,901,Smolder,200,BOTTOM,1,17,3,4,7.0,238,7.92,15608,519.11,41011,1364.0,12,0,0.568,16,"[1055, 3508, 3158, 3161, 3094, 1038, 3363]"
99,tulTeeybaONzDmaOWZJrQQg5aLFEqxy90_eyFE-mk2SDyRVQg_2ljUPT75WhKhWfyNhDZcVYfbcLoA,,moriems,,267,Nami,200,UTILITY,1,1,4,24,6.25,10,0.33,8750,291.02,9837,327.17,59,8,0.676,14,"[3870, 0, 2065, 4005, 4642, 3158, 3364]"
100,XrY6-r5GFLj8CO5ORU1k20-9Q2gzmJsiFZxPvkmAkZlEDIRKgdkoP0KOk6elVvoO_mpLSObv4CmVcw,,stingpey,,12,Alistar,100,TOP,0,0,12,10,0.83,157,3.94,10203,255.93,17681,443.5,18,0,0.312,16,"[3076, 4633, 3084, 3111, 6660, 1029, 3340]"
100,BJRUFZKi4kqwVHlR3SUVRBgUjelxqT6k2WYcy3xEbLxdhV5w-GKQvUtKQ2Dae3kYzLrfuDeilpEnlg,,XxWhoMexX,,17,Teemo,100,JUNGLE,0,6,10,8,1.4,223,5.59,15318,384.23,40259,1009.84,25,0,0.438,18,"[6653, 3115, 3916, 3006, 4646, 3135, 3340]"
100,ihmyWUBOo4pt7rzpE7BNmbehM2CGpgcoD0cu6dl0I2tiWJ3iHX3NyAC65kq8Cpq9wYOQQbe_sCeftw,,Malzahar,,90,Malzahar,100,MIDDLE,0,6,7,9,2.14,268,6.72,15434,387.14,38373,962.53,27,1,0.469,18,"[3135, 3116, 6653, 3089, 3020, 3916, 3364]"
100,Rm94T18B4lgn7alBo2JwvNSmbrzh54uOXj8fRYjsKIntjY76478YvnxPUJM_ZsT5hXvQGQqL7JlLOQ,,AnotherMLG,,901,Smolder,100,BOTTOM,0,17,10,6,2.3,275,6.9,21304,534.38,73085,1833.24,25,0,0.719,18,"[6673, 3508, 3036, 3031, 3072, 3009, 3340]"
100,jsgYD2EBx6wyFXobRFci6I-xqT8f1A5HrcqLNqWXU-f5jZ5MH2DENmxgTzonIta0AshShfZMXA3erQ,,AconitumDio,,902,Milio,100,UTILITY,0,3,6,13,2.67,15,0.38,9974,250.18,12103,303.59,71,1,0.5,15,"[6620, 3107, 3869, 6617, 3158, 3114, 3363]"
100,jy0JYaNeudFnGhaHK0ouYsp3ZYLleQvvW4kAxKqFvaDJa_wo56JiYGaFmTwqLTn6R-I9ufWbFLI3rg,,Tec105,,223,TahmKench,200,TOP,1,10,7,13,3.29,125,3.14,14811,371.51,36336,911.44,21,0,0.511,18,"[3068, 3084, 3173, 3065, 3091, 0, 3340]"
100,_94LAScPZUCuN2EDTgN2WEYMtQ9NZRf-1zMaeahhSDTPmkz0oZN3Gz35auEN-3KPkIMtZuIdvePeIg,,liquidweasels,,59,JarvanIV,200,JUNGLE,1,12,3,17,9.67,269,6.75,18663,468.14,33858,849.28,39,2,0.644,18,"[3161, 3053, 3173, 6610, 3071, 3075, 3364]"
100,2LfA4MjTj2DNzJX6rpVRfBEFhOWu1rJQvyV1KkzmFmtMHHlZEnBk7EU2IBOwI3cqGcx4QBw4RATYuA,,Skidmarkman37,,517,Sylas,200,MIDDLE,1,15,10,12,2.7,185,4.64,17244,432.54,62847,1576.43,18,0,0.6,18,"[3040, 3100, 3102, 3158, 4629, 4645, 3340]"
100,ANkwP0vyfGW_bwa99G7-Q39M8dMR239eaFstIF7BG21sBNyVX1RG8wtWVeJoC5e9cErXps1R_XXvYg,,Mohawk,,22,Ashe,200,BOTTOM,1,5,8,11,2.0,243,6.1,15418,386.74,23686,594.13,28,1,0.356,18,"[3172, 3085, 3032, 3153, 1038, 1018, 3363]"
100,09cJsn9B7cHroFiyDIY2pF_htA7U2vMtDzy5UhyjSlZKEYPLnmAjDS7OsqqlfLk6TYwXxgYZNVIN1g,,HoliRthnThou,,43,Karma,200,UTILITY,1,3,4,24,6.75,51,1.28,12353,309.86,21354,535.64,112,9,0.6,17,"[3871, 3171, 2065, 3165, 6617, 3114, 3364]"
101,fx6M1N5uQpJgWm1n7-cmmAE7_ciMHCmt4-9xvTAJk9Uhv_xgj3p7FpitwOfU-Bohj7kWaeCjEWY9FQ,,jkitch16,,6,Urgot,100,TOP,1,8,0,8,16.0,187,8.29,10989,486.96,25729,1140.13,10,0,0.457,15,"[3170, 3071, 3053, 1055, 2021, 1037, 3340]"
101,T_NJiMcguWEMbw9PndkexqbjrQFKmxTEYV2Ko4MIE8dMoLZjsGG0JM6JofLYM3xKn44ZkfNkFqxn5A,,Teldaru,,80,Pantheon,100,JUNGLE,1,6,0,11,17.0,135,5.98,9907,439.01,15212,674.09,5,2,0.486,14,"[2055, 6610, 3047, 3071, 3105, 0, 3340]"
101,ihmyWUBOo4pt7rzpE7BNmbehM2CGpgcoD0cu6dl0I2tiWJ3iHX3NyAC65kq8Cpq9wYOQQbe_sCeftw,,Malzahar,,90,Malzahar,100,MIDDLE,1,3,1,8,11.0,180,7.98,10027,444.33,16892,748.54,11,1,0.314,15,"[1056, 3916, 6653, 3020, 3070, 3116, 3340]"
101,p0-NnpWEPzyTTSGNEbWHj96rHOp_XCuSHOlBTQxR4nUL-lj5hl8Bo0XhmwKtMTlxDLqwPF1xNUGfgg,,BeardedBaldBalls,,360,Samira,100,BOTTOM,1,6,4,7,3.25,160,7.09,10046,445.17,14879,659.34,15,1,0.371,13,"[1055, 6676, 3009, 3031, 1038, 0, 3340]"
101,-1ZXxBf0UgRst96aLxi2rpaL89XrVc2nI_g1MEtuKZpNgVMfwfAdXoP36kGR1uewV7VlIh1E_JvFeA,,chuiungod,,555,Pyke,100,UTILITY,1,12,4,12,6.0,13,0.58,9842,436.13,18186,805.88,17,0,0.686,12,"[3877, 3142, 3179, 3176, 3155, 1036, 3364]"
101,VI8iFcyEzEwWWCXp4X5izEudUxX6Dv3JQzRIXEmhcCW76vs0-FXLSO5cWEFh6M2fhPlBbYyoTeq1vQ,,SpectreShockX,,36,DrMundo,200,TOP,0,1,7,0,0.14,155,6.87,7257,321.58,12896,571.46,7,0,0.111,13,"[1054, 3083, 1011, 3801, 2422, 1011, 3340]"
101,FEff3Dd8vwrd5lki0hqT5WqdixO1Ya7m0tLi3c1QxSOa-_fBw00LVAAxH5LX0qFmfbHTzLKQuUf8fQ,,Nozen,,254,Vi,200,JUNGLE,0,4,8,1,0.62,86,3.81,7596,336.6,7998,354.42,20,1,0.556,11,"[1102, 6610, 3044, 3067, 3111, 0, 3364]"
101,FhuCJhyCf_qcrZXSR96FsdU0sO0GmRa2RScy32tvcfB1N4v05_sBT5OpiVFEkbq120ys1kJEmIB_7A,,Im 0ld Gregg,,4,TwistedFate,200,MIDDLE,0,2,4,4,1.5,129,5.72,8396,372.05,10186,451.37,6,0,0.667,14,"[1052, 3009, 3094, 3057, 6657, 0, 3340]"
101,mCkEu7v3Rk3vHbgov7UGG45XHKwEA9wdJebwhkkZibVZ69SFYkomCBk8pJgym8Zzi3VuDJKQ-jwKgw,,The Fallen God,,45,Veigar,200,BOTTOM,0,2,9,1,0.33,112,4.96,7203,319.19,10816,479.29,12,2,0.333,11,"[1056, 6655, 3070, 3802, 3020, 3108, 3340]"
101,0zWorAdRV-rMJQci9WwHxTMOhmhbM2ltSrhRJdwJm5iFytOaos-GQk0hf-9bOKl4I3so7LWftr8PTA,,UnBanMeHeathen,,147,Seraphine,200,UTILITY,0,0,7,1,0.14,33,1.46,5034,223.07,7332,324.9,24,0,0.111,10,"[3871, 6653, 3020, 0, 0, 0, 3364]"
102,9Uku5X7L-36ufzLPex_56lkSqzqXqv3m2IzlN9ESNmnstlD4MqyIGHA-DCCF53YdIJuhsLXw274IoA,,impishjellybird,,79,Gragas,100,TOP,0,0,2,0,0.0,74,4.86,3665,240.59,4625,303.61,0,0,0,10,"[1056, 1026, 3803, 3070, 0, 0, 3340]"
102,Op4g1pOc1YrSYsMefkn09FbKrZjvyafQO9WN8n6SQqxBKMoRQtSwhUnAEAJAYiptvc9q-v3Oxynftw,,IWuldFukAYordle,,9,FiddleSticks,100,JUNGLE,0,0,4,1,0.25,78,5.12,4255,279.32,3213,210.92,19,2,0.333,8,"[1001, 2031, 1026, 1101, 3802, 0, 3330]"
102,ihmyWUBOo4pt7rzpE7BNmbehM2CGpgcoD0cu6dl0I2tiWJ3iHX3NyAC65kq8Cpq9wYOQQbe_sCeftw,,Malzahar,,90,Malzahar,100,MIDDLE,0,1,4,0,0.25,79,5.19,4090,268.49,5703,374.38,8,0,0.333,9,"[2421, 1056, 1052, 3070, 2422, 1028, 3340]"
102,NqphkHfXBekFev9RcjX8DmorPY3U3GCF2y_vdMm4ikNKb5RKycOnswJaNR6wpE-iK3XP-DupRjY0MA,,Th3LilGay,,360,Samira,100,BOTTOM,0,1,3,0,0.33,82,5.38,4153,272.63,5441,357.18,3,0,0.333,8,"[1055, 2031, 1001, 3134, 1037, 1018, 3340]"
102,-pS-OLgLWrQQRqNLuoZz4yIWro2pWuS810oIPZS5LgcigmDxWyDBzCRMe1QJdRQPd__eWZop-PMXYw,,noochevader,,53,Blitzcrank,100,UTILITY,0,1,4,1,0.5,31,2.04,3934,258.25,3354,220.18,17,2,0.667,8,"[3866, 0, 1033, 1029, 3067, 3009, 3364]"
