match_key,puuid,summoner_name,riot_id_game_name,riot_id_tag_line,champion_id,champion_name,team_id,team_position,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,vision_score,control_wards_purchased,kill_participation,champion_level,items
20,lXdl__ttOOX2YzH3H-phCV5ecB50BT2fqIzbuTa8seP2lg52Jz35DleQDWic18v85WVFV3QgG5g79g,Fulmetalal,Fulmetalal,,19,Warwick,100,JUNGLE,1,5,7,9,2.0,173,4.8,12380,343.41,18235,505.83,31,0,0.333,16,"[3065, 3047, 3074, 1028, 3153, 0, 3340]"
20,h7HXOgDSaXs4oQmB3vC3Gvphi8R2BVYs6pf1Co2fYtzDJ3GnGMT-NgxpfeKTcryiOqYXTn_RlXDDeQ,,hotlineabling,,202,Jhin,100,MIDDLE,1,17,7,10,3.86,183,5.08,17846,495.03,37786,1048.16,20,0,0.643,18,"[3031, 3009, 3087, 6676, 3033, 3155, 3340]"
20,dVSuelFG_PjlDzpjAGXpgClbwsqBt4pnZNJAJMTLmWo9FCZ9qV-qp8up0RqY3GI3bslXlOGEAioVRg,1oux,1ouxx,,221,Zeri,100,BOTTOM,1,4,10,10,1.4,154,4.27,11551,320.42,21623,599.81,15,0,0.333,15,"[1055, 3087, 3006, 3085, 3123, 1038, 3340]"
20,p50y4MLKwsogpG6XNdAdZdZ05pkLBT7GLSrc3dy9C_q5t5_YUih3OOCyHVsXTTKnnKXZ6qU2MUyLJA,TheSauseBoss11,TheSauseBoss,,25,Morgana,100,UTILITY,1,10,10,15,2.5,50,1.39,13749,381.39,39261,1089.07,52,2,0.595,16,"[3871, 2503, 3157, 6653, 3158, 3067, 3364]"
20,ffnEE_2jH0KWqUVJZv8LNAMTBepfQciTt1tzuHjC52Tebti-X-_0HYvIXK8JhbnLj089lx_ys-Olbg,ADCispointless,ADCispointless,,16,Soraka,200,TOP,0,0,7,14,2.0,174,4.83,9554,265.02,11706,324.72,8,0,0.368,17,"[1056, 3040, 6657, 3158, 3147, 2508, 3340]"
20,IrvPscEjfC1XUxOBnf1pezSiLulVOoOqptzIJHaNWiZsU0k2T7R0X1ZLWD-f6rOUuRh-7Za4bLksOA,Crenshaaw,Crenshaw,,887,Gwen,200,JUNGLE,0,6,8,11,2.12,232,6.44,13036,361.61,21757,603.52,18,0,0.447,17,"[2031, 3020, 3115, 4633, 3165, 2420, 3340]"
20,GCCF7pz-i8CrY7Wefvc3CgqVFYH1Vi8sd-FNXWOFBu-Za3i929two8NWzVV-I5rOb9NqsTamAAC8VA,CornBreadnChill,Corncobb33,,105,Fizz,200,MIDDLE,0,14,8,8,2.75,190,5.27,16461,456.62,29466,817.36,39,5,0.579,18,"[6655, 3157, 4645, 3020, 3100, 3916, 3340]"
20,UcUJ7s2Zx0Vguc7y8TpDSzeoAz6mezinPW3I9TUO8WYljkiQgUCXIuESYw_YOlo7NAjl2aKsy40yow,Berama,Berama,,81,Ezreal,200,BOTTOM,0,16,11,7,2.09,142,3.94,13867,384.66,46559,1291.51,14,0,0.605,15,"[3042, 3078, 6694, 3161, 3158, 0, 3340]"
20,WD6ZyrInHL8CLl6qbLbleYEOTvhfv859-LN6rS_rBcU6_a3-OFGsg-vwUwlNwMEdelJ1-Y22a-fqzg,Nautìlus,Nautìlus,,223,TahmKench,200,UTILITY,0,2,8,12,1.75,73,2.02,8997,249.57,13556,376.03,86,10,0.368,14,"[3876, 1031, 6660, 3076, 3742, 3111, 3364]"
21,t5glKxpGggHl68BIi2N1dBvp_czWSX_GIuiliF4RZuyFkthGwGJV5oKilPA54rfXuWrDp9uvuLXuCA,lKingOfSwingl,lKingOfSwingl,,240,Kled,100,TOP,1,12,4,10,5.5,184,6.04,13854,454.98,30657,1006.8,16,0,0.647,17,"[1037, 6698, 3111, 6692, 6699, 2021, 3340]"
21,IGEiyNe2BhE0b7cTri3bVhya0G33SCNYttLY-Xt6MKuNys0t5mUgi1VQI8qrjbAg34iZUlqUNpwWyQ,Jexer,Jexer,,41,Gangplank,100,JUNGLE,1,9,7,2,1.57,192,6.31,12841,421.71,10443,342.96,18,0,0.324,15,"[3031, 0, 0, 6676, 3078, 3158, 3340]"
21,F3C9LIGSBlYG7yAs_AsYM8r-9TTEUCxUpjfE6u014GICGbAq2KZ1ekNI68nTmmBk-5xRk4FgOwFJ_w,Widow98,Widow,,61,Orianna,100,MIDDLE,1,3,10,10,1.3,135,4.43,9326,306.27,11674,383.38,11,0,0.382,15,"[3040, 3020, 6655, 1058, 0, 0, 3340]"
21,0djtgmWUCyp14wwxzY3Hy30rDXiscOfgapdOgxU74O6BQ4taqbyE7ZUtTM5v4ESgfmB8ZqFHC7ClZA,FappedPanda,FappedPanda,,99,Lux,100,BOTTOM,1,7,3,4,3.67,197,6.47,11205,367.98,18845,618.88,22,1,0.324,14,"[3040, 3158, 4646, 6655, 0, 0, 3340]"
21,-FWLw8cns_mOU7reC-zb8qIYXViPAsPgIqfZP18s9gwEOefKrWgV0FLcU3Lx-nKPXuOxhFnDhPlgMg,HIGH Voltage7997,HIGH Voltage7997,,161,Velkoz,100,UTILITY,1,3,5,11,2.8,53,1.74,8369,274.84,16412,538.98,54,0,0.412,14,"[3871, 3020, 6655, 4628, 0, 0, 3364]"
21,glpiurDZvpfEh9HzPzhUmR5CmjR673Nl5WSfFIntLdMIad3XD-wUnvxrRaaYVz8dtbU9F9HYeN7mEQ,TimberWolves203,TimberWolves203,,92,Riven,200,TOP,0,5,7,2,1.0,160,5.25,9674,317.7,13428,440.99,17,2,0.241,14,"[6610, 2019, 1055, 3158, 6692, 0, 3340]"
21,3IxSGyh4EpzWFpGmIREqebCuAZMuQmoda8FkSsRy3iU23-6avIXmkpao1xjPn1k2B6iQy95WgdpNPg,DogWater112,Odysseus909,,32,Amumu,200,JUNGLE,0,4,3,6,3.33,181,5.94,10433,342.63,13748,451.49,19,0,0.345,14,"[3068, 6653, 3047, 3145, 3113, 0, 3364]"
21,_rF6T35gOOs8z1dUvcCdTFUpavw43xiBVyL9_PEMblT8Zc3IoIiIIN9qgYoWcVo-D9kZPv4P4-bmYg,,Kiefertin,,105,Fizz,200,MIDDLE,0,12,9,5,1.89,163,5.35,12193,400.43,28102,922.89,19,1,0.586,16,"[3020, 3157, 3089, 3100, 1052, 0, 3340]"
21,DG3dZEUM9WrbameOTJ4WzD6TiARAht0rcKtfJQLQ2dzORN-JEmY0pqE8yb7rNg4i4Ili518NzWNT-g,Ackaan,Ackaan,,63,Brand,200,BOTTOM,0,5,7,5,1.43,181,5.94,10615,348.6,24894,817.54,24,2,0.345,14,"[3116, 1029, 0, 6653, 2503, 3020, 3363]"
21,WD6ZyrInHL8CLl6qbLbleYEOTvhfv859-LN6rS_rBcU6_a3-OFGsg-vwUwlNwMEdelJ1-Y22a-fqzg,Nautìlus,Nautìlus,,20,Nunu,200,UTILITY,0,3,9,5,0.89,89,2.92,7985,262.23,7000,229.89,25,6,0.276,13,"[1102, 6655, 3066, 3076, 1031, 3020, 3364]"
22,R0sdgZP3IlfgPwYOyT85OCH9geDumEawwp_d0uhwO_mors5CaFbc8hhQOlwv5HHxlIpNmdUnK2Jl3A,AnnoyingAbs,AnnoyingAbs,,67,Vayne,100,TOP,1,18,8,11,3.62,216,5.46,18451,466.33,54912,1387.83,30,0,0.547,18,"[3153, 3072, 6672, 3009, 3124, 3091, 3340]"
22,v2afIajONhmIEopcXZvUvU9OyKT324qXlYOTP8jBD34dx7EC54fWBjwhPChdkNXYty702XPipTVT8Q,Sachinamikaze,Sachinamikaze,,78,Poppy,100,JUNGLE,1,10,4,13,5.75,154,3.89,14039,354.82,21449,542.1,27,0,0.434,17,"[2504, 6610, 3111, 6662, 3155, 3133, 3364]"
22,-WC2q9TCt0NIMlurGMWpn8Wiseb3UNKT8zVGTCbJxcHXQ_OdmjmPB-hgMXCj_INqhyiUodiPggoivQ,MoonTehFox,MoonTehFox,,910,Hwei,100,MIDDLE,1,11,6,14,4.17,212,5.36,15399,389.19,50154,1267.58,23,0,0.472,18,"[0, 3089, 6653, 3040, 3020, 2503, 3340]"
22,C9y8RR1pBzg3EkiD96VL_yN5AAJRpf3txculBOukqoKkniDAg2Z_ioboKlkVc8nwNShGD9PBu69Wsg,Stickydude,Stickydude,,360,Samira,100,BOTTOM,1,14,7,10,3.43,213,5.38,16845,425.74,40223,1016.59,24,0,0.453,18,"[3036, 3031, 6676, 3047, 3065, 6670, 3340]"
22,zYIRNP60NLnN1BQ-A4KbBboIftK6GKO3KbElq4C5GsXt1MYMAaTPxALpWlbKqVz2g_yuGg1z8tGOoQ,Desperaux,Desperaux,,16,Soraka,100,UTILITY,1,0,3,8,2.67,18,0.45,9207,232.7,3250,82.14,21,0,0.151,11,"[3870, 6617, 3158, 3114, 3114, 0, 3340]"
